Free-Free Emission Gaunt factors as a function of 
scaled electron and photon energy.
v1.0.0, Sutherland 1997
 e (E_i/Z^2Ry)   w (hnu/Z^Ry)   gff(e,w)
--------------------------------------------
4.64158883E-09 2.15443469E-05 1.00921643E+00
4.64158883E-09 4.64158883E-05 1.00881073E+00
4.64158883E-09 1.00000000E-04 1.00950936E+00
4.64158883E-09 2.15443469E-04 1.01113429E+00
4.64158883E-09 4.64158883E-04 1.01364784E+00
4.64158883E-09 1.00000000E-03 1.01711153E+00
4.64158883E-09 2.15443469E-03 1.02166176E+00
4.64158883E-09 4.64158883E-03 1.02749253E+00
4.64158883E-09 1.00000000E-02 1.03483640E+00
4.64158883E-09 2.15443469E-02 1.04393115E+00
4.64158883E-09 4.64158883E-02 1.05495159E+00
4.64158883E-09 1.00000000E-01 1.06786503E+00
4.64158883E-09 2.15443469E-01 1.08211623E+00
4.64158883E-09 4.64158883E-01 1.09586725E+00
4.64158883E-09 1.00000000E+00 1.10396279E+00
4.64158883E-09 2.15443469E+00 1.09431633E+00
4.64158883E-09 4.64158883E+00 1.04859926E+00
4.64158883E-09 1.00000000E+01 9.54646791E-01
4.64158883E-09 2.15443469E+01 8.19310839E-01
4.64158883E-09 4.64158883E+01 6.64800508E-01
4.64158883E-09 1.00000000E+02 5.14620668E-01
4.64158883E-09 2.15443469E+02 3.84058547E-01
4.64158883E-09 4.64158883E+02 2.78956821E-01
4.64158883E-09 1.00000000E+03 1.98704740E-01
4.64158883E-09 2.15443469E+03 1.39604573E-01
4.64158883E-09 4.64158883E+03 9.71446622E-02
4.64158883E-09 1.00000000E+04 6.71506435E-02
4.64158883E-09 2.15443469E+04 4.62053856E-02
4.64158883E-09 4.64158883E+04 3.16935005E-02
4.64158883E-09 1.00000000E+05 2.16926902E-02
4.64158883E-09 2.15443469E+05 1.48257918E-02
4.64158883E-09 4.64158883E+05 1.01224639E-02
4.64158883E-09 1.00000000E+06 6.90648345E-03
4.64158883E-09 2.15443469E+06 4.71004172E-03
4.64158883E-09 4.64158883E+06 3.21110241E-03 
4.64158883E-09 1.00000000E+07 2.18871512E-03 
4.64158883E-09 2.15443469E+07 1.49162633E-03 
4.64158883E-09 4.64158883E+07 1.01645238E-03 
4.64158883E-09 1.00000000E+08 6.92602713E-04 
4.64158883E-09 2.15443469E+08 4.71911979E-04 
4.64158883E-09 4.64158883E+08 3.21531820E-04 
4.64158883E-09 1.00000000E+09 2.19067259E-04 
1.00000000E-08 1.00000000E-08 1.07310879E+00
1.00000000E-08 2.15443469E-08 1.04451588E+00
1.00000000E-08 4.64158883E-08 1.02716492E+00
1.00000000E-08 1.00000000E-07 1.01676398E+00
1.00000000E-08 2.15443469E-07 1.01062046E+00
1.00000000E-08 4.64158883E-07 1.00708729E+00
1.00000000E-08 1.00000000E-06 1.00517309E+00
1.00000000E-08 2.15443469E-06 1.00429215E+00
1.00000000E-08 4.64158883E-06 1.00410878E+00
1.00000000E-08 1.00000000E-05 1.01111538E+00
1.00000000E-08 2.15443469E-05 1.00921643E+00
1.00000000E-08 4.64158883E-05 1.00881073E+00
1.00000000E-08 1.00000000E-04 1.00950936E+00
1.00000000E-08 2.15443469E-04 1.01113429E+00
1.00000000E-08 4.64158883E-04 1.01364784E+00
1.00000000E-08 1.00000000E-03 1.01711153E+00
1.00000000E-08 2.15443469E-03 1.02166176E+00
1.00000000E-08 4.64158883E-03 1.02749253E+00
1.00000000E-08 1.00000000E-02 1.03483640E+00
1.00000000E-08 2.15443469E-02 1.04393115E+00
1.00000000E-08 4.64158883E-02 1.05495159E+00
1.00000000E-08 1.00000000E-01 1.06786503E+00
1.00000000E-08 2.15443469E-01 1.08211623E+00
1.00000000E-08 4.64158883E-01 1.09586725E+00
1.00000000E-08 1.00000000E+00 1.10396279E+00
1.00000000E-08 2.15443469E+00 1.09431633E+00
1.00000000E-08 4.64158883E+00 1.04859926E+00
1.00000000E-08 1.00000000E+01 9.54646791E-01
1.00000000E-08 2.15443469E+01 8.19310839E-01
1.00000000E-08 4.64158883E+01 6.64800508E-01
1.00000000E-08 1.00000000E+02 5.14620668E-01
1.00000000E-08 2.15443469E+02 3.84058547E-01
1.00000000E-08 4.64158883E+02 2.78956821E-01
1.00000000E-08 1.00000000E+03 1.98704740E-01
1.00000000E-08 2.15443469E+03 1.39604573E-01
1.00000000E-08 4.64158883E+03 9.71446622E-02
1.00000000E-08 1.00000000E+04 6.71506435E-02
1.00000000E-08 2.15443469E+04 4.62053856E-02
1.00000000E-08 4.64158883E+04 3.16935005E-02
1.00000000E-08 1.00000000E+05 2.16926902E-02
1.00000000E-08 2.15443469E+05 1.48257918E-02
1.00000000E-08 4.64158883E+05 1.01224639E-02
1.00000000E-08 1.00000000E+06 6.90648345E-03
1.00000000E-08 2.15443469E+06 4.71004172E-03
1.00000000E-08 4.64158883E+06 3.21110241E-03
1.00000000E-08 1.00000000E+07 2.18871512E-03
1.00000000E-08 2.15443469E+07 1.49162633E-03
1.00000000E-08 4.64158883E+07 1.01645238E-03
1.00000000E-08 1.00000000E+08 6.92602713E-04
1.00000000E-08 2.15443469E+08 4.71911979E-04
1.00000000E-08 4.64158883E+08 3.21531820E-04
1.00000000E-08 1.00000000E+09 2.19067259E-04
2.15443469E-08 1.00000000E-08 1.07310879E+00
2.15443469E-08 2.15443469E-08 1.04451588E+00
2.15443469E-08 4.64158883E-08 1.02716492E+00
2.15443469E-08 1.00000000E-07 1.01676398E+00
2.15443469E-08 2.15443469E-07 1.01062046E+00
2.15443469E-08 4.64158883E-07 1.00708729E+00
2.15443469E-08 1.00000000E-06 1.00517309E+00
2.15443469E-08 2.15443469E-06 1.00429215E+00
2.15443469E-08 4.64158883E-06 1.00410878E+00
2.15443469E-08 1.00000000E-05 1.01111538E+00
2.15443469E-08 2.15443469E-05 1.00921643E+00
2.15443469E-08 4.64158883E-05 1.00881073E+00
2.15443469E-08 1.00000000E-04 1.00950936E+00
2.15443469E-08 2.15443469E-04 1.01113429E+00
2.15443469E-08 4.64158883E-04 1.01364784E+00
2.15443469E-08 1.00000000E-03 1.01711153E+00
2.15443469E-08 2.15443469E-03 1.02166176E+00
2.15443469E-08 4.64158883E-03 1.02749253E+00
2.15443469E-08 1.00000000E-02 1.03483640E+00
2.15443469E-08 2.15443469E-02 1.04393115E+00
2.15443469E-08 4.64158883E-02 1.05495159E+00
2.15443469E-08 1.00000000E-01 1.06786503E+00
2.15443469E-08 2.15443469E-01 1.08211623E+00
2.15443469E-08 4.64158883E-01 1.09586725E+00
2.15443469E-08 1.00000000E+00 1.10396279E+00
2.15443469E-08 2.15443469E+00 1.09431633E+00
2.15443469E-08 4.64158883E+00 1.04859926E+00
2.15443469E-08 1.00000000E+01 9.54646791E-01
2.15443469E-08 2.15443469E+01 8.19310839E-01
2.15443469E-08 4.64158883E+01 6.64800508E-01
2.15443469E-08 1.00000000E+02 5.14620668E-01
2.15443469E-08 2.15443469E+02 3.84058547E-01
2.15443469E-08 4.64158883E+02 2.78956821E-01
2.15443469E-08 1.00000000E+03 1.98704740E-01
2.15443469E-08 2.15443469E+03 1.39604573E-01
2.15443469E-08 4.64158883E+03 9.71446622E-02
2.15443469E-08 1.00000000E+04 6.71506435E-02
2.15443469E-08 2.15443469E+04 4.62053856E-02
2.15443469E-08 4.64158883E+04 3.16935005E-02
2.15443469E-08 1.00000000E+05 2.16926902E-02
2.15443469E-08 2.15443469E+05 1.48257918E-02
2.15443469E-08 4.64158883E+05 1.01224639E-02
2.15443469E-08 1.00000000E+06 6.90648345E-03
2.15443469E-08 2.15443469E+06 4.71004172E-03
2.15443469E-08 4.64158883E+06 3.21110241E-03
2.15443469E-08 1.00000000E+07 2.18871512E-03
2.15443469E-08 2.15443469E+07 1.49162633E-03
2.15443469E-08 4.64158883E+07 1.01645238E-03
2.15443469E-08 1.00000000E+08 6.92602713E-04
2.15443469E-08 2.15443469E+08 4.71911979E-04
2.15443469E-08 4.64158883E+08 3.21531820E-04
2.15443469E-08 1.00000000E+09 2.19067259E-04
4.64158883E-08 1.00000000E-08 1.07310879E+00
4.64158883E-08 2.15443469E-08 1.04451588E+00
4.64158883E-08 4.64158883E-08 1.02716492E+00
4.64158883E-08 1.00000000E-07 1.01676398E+00
4.64158883E-08 2.15443469E-07 1.01062046E+00
4.64158883E-08 4.64158883E-07 1.00708729E+00
4.64158883E-08 1.00000000E-06 1.00517309E+00
4.64158883E-08 2.15443469E-06 1.00429215E+00
4.64158883E-08 4.64158883E-06 1.00410878E+00
4.64158883E-08 1.00000000E-05 1.01111538E+00
4.64158883E-08 2.15443469E-05 1.00921643E+00
4.64158883E-08 4.64158883E-05 1.00881073E+00
4.64158883E-08 1.00000000E-04 1.00950936E+00
4.64158883E-08 2.15443469E-04 1.01113429E+00
4.64158883E-08 4.64158883E-04 1.01364784E+00
4.64158883E-08 1.00000000E-03 1.01711153E+00
4.64158883E-08 2.15443469E-03 1.02166176E+00
4.64158883E-08 4.64158883E-03 1.02749253E+00
4.64158883E-08 1.00000000E-02 1.03483640E+00
4.64158883E-08 2.15443469E-02 1.04393115E+00
4.64158883E-08 4.64158883E-02 1.05495159E+00
4.64158883E-08 1.00000000E-01 1.06786503E+00
4.64158883E-08 2.15443469E-01 1.08211623E+00
4.64158883E-08 4.64158883E-01 1.09586725E+00
4.64158883E-08 1.00000000E+00 1.10396279E+00
4.64158883E-08 2.15443469E+00 1.09431633E+00
4.64158883E-08 4.64158883E+00 1.04859926E+00
4.64158883E-08 1.00000000E+01 9.54646791E-01
4.64158883E-08 2.15443469E+01 8.19310839E-01
4.64158883E-08 4.64158883E+01 6.64800508E-01
4.64158883E-08 1.00000000E+02 5.14620668E-01
4.64158883E-08 2.15443469E+02 3.84058547E-01
4.64158883E-08 4.64158883E+02 2.78956821E-01
4.64158883E-08 1.00000000E+03 1.98704740E-01
4.64158883E-08 2.15443469E+03 1.39604573E-01
4.64158883E-08 4.64158883E+03 9.71446622E-02
4.64158883E-08 1.00000000E+04 6.71506435E-02
4.64158883E-08 2.15443469E+04 4.62053856E-02
4.64158883E-08 4.64158883E+04 3.16935005E-02
4.64158883E-08 1.00000000E+05 2.16926902E-02
4.64158883E-08 2.15443469E+05 1.48257918E-02
4.64158883E-08 4.64158883E+05 1.01224639E-02
4.64158883E-08 1.00000000E+06 6.90648345E-03
4.64158883E-08 2.15443469E+06 4.71004172E-03
4.64158883E-08 4.64158883E+06 3.21110241E-03 
4.64158883E-08 1.00000000E+07 2.18871512E-03 
4.64158883E-08 2.15443469E+07 1.49162633E-03 
4.64158883E-08 4.64158883E+07 1.01645238E-03 
4.64158883E-08 1.00000000E+08 6.92602713E-04 
4.64158883E-08 2.15443469E+08 4.71911979E-04 
4.64158883E-08 4.64158883E+08 3.21531820E-04 
4.64158883E-08 1.00000000E+09 2.19067259E-04 
1.00000000E-07 1.00000000E-08 1.07310879E+00 
1.00000000E-07 2.15443469E-08 1.04451588E+00 
1.00000000E-07 4.64158883E-08 1.02716492E+00 
1.00000000E-07 1.00000000E-07 1.01676398E+00 
1.00000000E-07 2.15443469E-07 1.01062046E+00 
1.00000000E-07 4.64158883E-07 1.00708729E+00 
1.00000000E-07 1.00000000E-06 1.00517309E+00 
1.00000000E-07 2.15443469E-06 1.00429215E+00 
1.00000000E-07 4.64158883E-06 1.00410878E+00 
1.00000000E-07 1.00000000E-05 1.01111538E+00 
1.00000000E-07 2.15443469E-05 1.00921643E+00 
1.00000000E-07 4.64158883E-05 1.00881073E+00 
1.00000000E-07 1.00000000E-04 1.00950936E+00 
1.00000000E-07 2.15443469E-04 1.01113429E+00 
1.00000000E-07 4.64158883E-04 1.01364784E+00 
1.00000000E-07 1.00000000E-03 1.01711153E+00 
1.00000000E-07 2.15443469E-03 1.02166176E+00 
1.00000000E-07 4.64158883E-03 1.02749253E+00 
1.00000000E-07 1.00000000E-02 1.03483640E+00 
1.00000000E-07 2.15443469E-02 1.04393115E+00 
1.00000000E-07 4.64158883E-02 1.05495159E+00 
1.00000000E-07 1.00000000E-01 1.06786503E+00 
1.00000000E-07 2.15443469E-01 1.08211623E+00 
1.00000000E-07 4.64158883E-01 1.09586725E+00 
1.00000000E-07 1.00000000E+00 1.10396279E+00 
1.00000000E-07 2.15443469E+00 1.09431633E+00 
1.00000000E-07 4.64158883E+00 1.04859926E+00 
1.00000000E-07 1.00000000E+01 9.54646791E-01 
1.00000000E-07 2.15443469E+01 8.19310839E-01 
1.00000000E-07 4.64158883E+01 6.64800508E-01 
1.00000000E-07 1.00000000E+02 5.14620668E-01 
1.00000000E-07 2.15443469E+02 3.84058547E-01 
1.00000000E-07 4.64158883E+02 2.78956821E-01 
1.00000000E-07 1.00000000E+03 1.98704740E-01 
1.00000000E-07 2.15443469E+03 1.39604573E-01 
1.00000000E-07 4.64158883E+03 9.71446622E-02 
1.00000000E-07 1.00000000E+04 6.71506435E-02 
1.00000000E-07 2.15443469E+04 4.62053856E-02 
1.00000000E-07 4.64158883E+04 3.16935005E-02 
1.00000000E-07 1.00000000E+05 2.16926902E-02 
1.00000000E-07 2.15443469E+05 1.48257918E-02 
1.00000000E-07 4.64158883E+05 1.01224639E-02 
1.00000000E-07 1.00000000E+06 6.90648345E-03 
1.00000000E-07 2.15443469E+06 4.71004172E-03 
1.00000000E-07 4.64158883E+06 3.21110241E-03 
1.00000000E-07 1.00000000E+07 2.18871512E-03 
1.00000000E-07 2.15443469E+07 1.49162633E-03 
1.00000000E-07 4.64158883E+07 1.01645238E-03 
1.00000000E-07 1.00000000E+08 6.92602713E-04 
1.00000000E-07 2.15443469E+08 4.71911979E-04 
1.00000000E-07 4.64158883E+08 3.21531820E-04 
1.00000000E-07 1.00000000E+09 2.19067259E-04 
2.15443469E-07 1.00000000E-08 1.07310879E+00 
2.15443469E-07 2.15443469E-08 1.04451588E+00 
2.15443469E-07 4.64158883E-08 1.02716492E+00 
2.15443469E-07 1.00000000E-07 1.01676398E+00 
2.15443469E-07 2.15443469E-07 1.01062046E+00
2.15443469E-07 4.64158883E-07 1.00708729E+00
2.15443469E-07 1.00000000E-06 1.00517309E+00
2.15443469E-07 2.15443469E-06 1.00429215E+00
2.15443469E-07 4.64158883E-06 1.00410878E+00
2.15443469E-07 1.00000000E-05 1.01111538E+00
2.15443469E-07 2.15443469E-05 1.00921643E+00
2.15443469E-07 4.64158883E-05 1.00881073E+00
2.15443469E-07 1.00000000E-04 1.00950936E+00
2.15443469E-07 2.15443469E-04 1.01113429E+00
2.15443469E-07 4.64158883E-04 1.01364784E+00
2.15443469E-07 1.00000000E-03 1.01711153E+00
2.15443469E-07 2.15443469E-03 1.02166176E+00
2.15443469E-07 4.64158883E-03 1.02749253E+00
2.15443469E-07 1.00000000E-02 1.03483640E+00
2.15443469E-07 2.15443469E-02 1.04393115E+00
2.15443469E-07 4.64158883E-02 1.05495159E+00
2.15443469E-07 1.00000000E-01 1.06786503E+00
2.15443469E-07 2.15443469E-01 1.08211623E+00
2.15443469E-07 4.64158883E-01 1.09586725E+00
2.15443469E-07 1.00000000E+00 1.10396279E+00
2.15443469E-07 2.15443469E+00 1.09431633E+00
2.15443469E-07 4.64158883E+00 1.04859926E+00
2.15443469E-07 1.00000000E+01 9.54646791E-01
2.15443469E-07 2.15443469E+01 8.19310839E-01
2.15443469E-07 4.64158883E+01 6.64800508E-01
2.15443469E-07 1.00000000E+02 5.14620668E-01
2.15443469E-07 2.15443469E+02 3.84058547E-01
2.15443469E-07 4.64158883E+02 2.78956821E-01
2.15443469E-07 1.00000000E+03 1.98704740E-01
2.15443469E-07 2.15443469E+03 1.39604573E-01
2.15443469E-07 4.64158883E+03 9.71446622E-02
2.15443469E-07 1.00000000E+04 6.71506435E-02
2.15443469E-07 2.15443469E+04 4.62053856E-02
2.15443469E-07 4.64158883E+04 3.16935005E-02
2.15443469E-07 1.00000000E+05 2.16926902E-02
2.15443469E-07 2.15443469E+05 1.48257918E-02
2.15443469E-07 4.64158883E+05 1.01224639E-02
2.15443469E-07 1.00000000E+06 6.90648345E-03
2.15443469E-07 2.15443469E+06 4.71004172E-03
2.15443469E-07 4.64158883E+06 3.21110241E-03
2.15443469E-07 1.00000000E+07 2.18871512E-03
2.15443469E-07 2.15443469E+07 1.49162633E-03
2.15443469E-07 4.64158883E+07 1.01645238E-03
2.15443469E-07 1.00000000E+08 6.92602713E-04
2.15443469E-07 2.15443469E+08 4.71911979E-04
2.15443469E-07 4.64158883E+08 3.21531820E-04
2.15443469E-07 1.00000000E+09 2.19067259E-04
4.64158883E-07 1.00000000E-08 1.07310879E+00
4.64158883E-07 2.15443469E-08 1.04451588E+00
4.64158883E-07 4.64158883E-08 1.02716492E+00
4.64158883E-07 1.00000000E-07 1.01676398E+00
4.64158883E-07 2.15443469E-07 1.01062046E+00
4.64158883E-07 4.64158883E-07 1.00708729E+00
4.64158883E-07 1.00000000E-06 1.00517309E+00
4.64158883E-07 2.15443469E-06 1.00429215E+00
4.64158883E-07 4.64158883E-06 1.00410878E+00
4.64158883E-07 1.00000000E-05 1.01111538E+00
4.64158883E-07 2.15443469E-05 1.00921643E+00
4.64158883E-07 4.64158883E-05 1.00881073E+00
4.64158883E-07 1.00000000E-04 1.00950936E+00
4.64158883E-07 2.15443469E-04 1.01113429E+00
4.64158883E-07 4.64158883E-04 1.01364784E+00
4.64158883E-07 1.00000000E-03 1.01711153E+00
4.64158883E-07 2.15443469E-03 1.02166176E+00
4.64158883E-07 4.64158883E-03 1.02749253E+00
4.64158883E-07 1.00000000E-02 1.03483640E+00
4.64158883E-07 2.15443469E-02 1.04393115E+00
4.64158883E-07 4.64158883E-02 1.05495159E+00
4.64158883E-07 1.00000000E-01 1.06786503E+00
4.64158883E-07 2.15443469E-01 1.08211623E+00
4.64158883E-07 4.64158883E-01 1.09586725E+00
4.64158883E-07 1.00000000E+00 1.10396279E+00
4.64158883E-07 2.15443469E+00 1.09431633E+00
4.64158883E-07 4.64158883E+00 1.04859926E+00
4.64158883E-07 1.00000000E+01 9.54646791E-01
4.64158883E-07 2.15443469E+01 8.19310839E-01
4.64158883E-07 4.64158883E+01 6.64800508E-01
4.64158883E-07 1.00000000E+02 5.14620668E-01
4.64158883E-07 2.15443469E+02 3.84058547E-01
4.64158883E-07 4.64158883E+02 2.78956821E-01
4.64158883E-07 1.00000000E+03 1.98704740E-01
4.64158883E-07 2.15443469E+03 1.39604573E-01
4.64158883E-07 4.64158883E+03 9.71446622E-02
4.64158883E-07 1.00000000E+04 6.71506435E-02
4.64158883E-07 2.15443469E+04 4.62053856E-02
4.64158883E-07 4.64158883E+04 3.16935005E-02
4.64158883E-07 1.00000000E+05 2.16926902E-02
4.64158883E-07 2.15443469E+05 1.48257918E-02
4.64158883E-07 4.64158883E+05 1.01224639E-02
4.64158883E-07 1.00000000E+06 6.90648345E-03
4.64158883E-07 2.15443469E+06 4.71004172E-03
4.64158883E-07 4.64158883E+06 3.21110241E-03
4.64158883E-07 1.00000000E+07 2.18871512E-03
4.64158883E-07 2.15443469E+07 1.49162633E-03
4.64158883E-07 4.64158883E+07 1.01645238E-03
4.64158883E-07 1.00000000E+08 6.92602713E-04
4.64158883E-07 2.15443469E+08 4.71911979E-04
4.64158883E-07 4.64158883E+08 3.21531820E-04
4.64158883E-07 1.00000000E+09 2.19067259E-04
1.00000000E-06 1.00000000E-08 1.07310879E+00
1.00000000E-06 2.15443469E-08 1.04451588E+00
1.00000000E-06 4.64158883E-08 1.02716492E+00
1.00000000E-06 1.00000000E-07 1.01676398E+00
1.00000000E-06 2.15443469E-07 1.01062046E+00
1.00000000E-06 4.64158883E-07 1.00708729E+00
1.00000000E-06 1.00000000E-06 1.00517309E+00
1.00000000E-06 2.15443469E-06 1.00429215E+00
1.00000000E-06 4.64158883E-06 1.00410878E+00
